run_id,name,state,num_rounds,fraction_train,lr,final_test_accuracy,final_test_loss,total_communication_MB,created_at
wp0k21zt,federated_server,finished,3.0,0.5,0.01,0.7636363636363637,0.49139679223299026,,2025-11-19T15:35:39Z
rvz2b0s8,federated_server,finished,3.0,0.5,0.01,0.23636363636363636,0.6996934413909912,12.055892944335938,2025-11-19T15:47:48Z
tw5xcg40,centralized,finished,,,0.001,,,,2025-12-03T13:30:34Z
